"rate","yield","yield_norm"
0,1110.30584420443,0
13.0588235294118,1131.7496625512,21.4438183467716
26.1176470588235,1143.94107523032,33.6352310258922
39.1764705882353,1313.54177376268,203.23592955825
52.2352941176471,1313.54177376268,203.23592955825
65.2941176470588,1324.00351029105,213.697666086615
78.3529411764706,1576.61571512646,466.309870922034
91.4117647058823,1740.23168634208,629.925842137652
104.470588235294,1758.74441909227,648.438574887843
117.529411764706,1776.64818488382,666.342340679391
130.588235294118,1773.20261107441,662.896766869984
143.647058823529,1773.20261107441,662.896766869984
156.705882352941,1773.20261107441,662.896766869984
169.764705882353,1898.65102720764,788.345183003204
182.823529411765,1898.65102720764,788.345183003204
195.882352941176,1898.65102720764,788.345183003204
208.941176470588,1929.31995999325,819.014115788818
222,1929.31995999325,819.014115788818
