"rate","yield"
0,1993.40204220544
5.16279069767442,1993.40204220544
10.3255813953488,2009.83615113025
15.4883720930233,2547.10470480185
20.6511627906977,2604.10960524853
25.8139534883721,2594.71641122325
30.9767441860465,2474.17793070084
36.1395348837209,2470.59473793298
41.3023255813954,2595.20178481469
46.4651162790698,2647.71118334358
51.6279069767442,2646.24026618945
56.7906976744186,2688.023237136
61.953488372093,2681.66773278817
67.1162790697674,2679.44769770779
72.2790697674419,2553.24133213631
77.4418604651163,2560.46389823872
82.6046511627907,2720.70966773943
87.7674418604651,2498.70171105723
92.9302325581395,2537.08165482626
98.093023255814,2538.89086618535
103.255813953488,2432.22256035342
108.418604651163,2430.47013167486
113.581395348837,2430.47013167486
118.744186046512,2425.29872057497
123.906976744186,2425.29872057497
129.06976744186,2429.83829611106
134.232558139535,2437.23187323571
139.395348837209,2437.23187323571
144.558139534884,2437.23187323571
149.720930232558,2437.23187323571
154.883720930233,2437.23187323571
160.046511627907,2435.95044054551
165.209302325581,2435.95044054551
170.372093023256,2435.95044054551
175.53488372093,2435.95044054551
180.697674418605,2435.95044054551
185.860465116279,2435.95044054551
191.023255813954,2435.95044054551
196.186046511628,2435.95044054551
201.348837209302,2435.95044054551
206.511627906977,2435.95044054551
211.674418604651,2435.95044054551
216.837209302326,2435.95044054551
222,2435.95044054551
